title,description,category,languageType,mediaURL,text
Ngembah Belo Selambar,Prosesi penyerahan kain tradisional ulos dari pihak pengantin pria kepada pengantin wanita sebagai simbol ikatan pernikahan.,Tradisi Nusantara,Medan,,Ngembah Belo Selambar Prosesi penyerahan kain tradisional ulos dari pihak pengantin pria kepada pengantin wanita sebagai simbol ikatan pernikahan.
Juhut,Tradisi pemberian daging kerbau atau sapi dari pihak pengantin pria kepada keluarga pengantin wanita sebagai tanda penghormatan.,Tradisi Nusantara,Medan,,Juhut Tradisi pemberian daging kerbau atau sapi dari pihak pengantin pria kepada keluarga pengantin wanita sebagai tanda penghormatan.
Manuk Simujek,Ritual penyerahan ayam sebagai simbol kesuburan dan doa untuk kehidupan rumah tangga yang harmonis.,Tradisi Nusantara,Medan,,Manuk Simujek Ritual penyerahan ayam sebagai simbol kesuburan dan doa untuk kehidupan rumah tangga yang harmonis.
Erpangir Ku Lau Jenazah,Upacara membersihkan jenazah dengan air sungai suci sebelum dimakamkan untuk memastikan roh pergi dengan tenang.,Tradisi Nusantara,Medan,,Erpangir Ku Lau Jenazah Upacara membersihkan jenazah dengan air sungai suci sebelum dimakamkan untuk memastikan roh pergi dengan tenang.
Ngerires,Upacara berkabung yang dilakukan oleh keluarga almarhum untuk menghormati dan mengenang kepergiannya.,Tradisi Nusantara,Medan,,Ngerires Upacara berkabung yang dilakukan oleh keluarga almarhum untuk menghormati dan mengenang kepergiannya.
Pesta Mebur/Merdang Merdem,Upacara peringatan setahun setelah kematian untuk mendoakan arwah agar diterima di tempat yang layak.,Tradisi Nusantara,Medan,,Pesta Mebur/Merdang Merdem Upacara peringatan setahun setelah kematian untuk mendoakan arwah agar diterima di tempat yang layak.
Ritual Pengangkatan Anak,Upacara untuk mengesahkan anak angkat dalam keluarga agar diakui dalam struktur marga dan adat.,Tradisi Nusantara,Medan,,Ritual Pengangkatan Anak Upacara untuk mengesahkan anak angkat dalam keluarga agar diakui dalam struktur marga dan adat.
Merdang Merdem,Upacara adat yang bertujuan untuk memohon kesuburan tanah dan hasil panen yang melimpah.,Tradisi Nusantara,Medan,,Merdang Merdem Upacara adat yang bertujuan untuk memohon kesuburan tanah dan hasil panen yang melimpah.
Cawir Metua,Upacara adat ketika seorang kepala keluarga menyerahkan tanggung jawab kepada generasi penerus.,Tradisi Nusantara,Medan,,Cawir Metua Upacara adat ketika seorang kepala keluarga menyerahkan tanggung jawab kepada generasi penerus.
Mulih Ken Dibata,Ritual doa kepada Tuhan dan leluhur dalam upacara-upacara penting untuk memohon perlindungan dan bimbingan.,Tradisi Nusantara,Medan,,Mulih Ken Dibata Ritual doa kepada Tuhan dan leluhur dalam upacara-upacara penting untuk memohon perlindungan dan bimbingan.
Rumah Siwaluh Jabu,"Rumah tradisional khas Karo yang berarti ""rumah dengan delapan ruang keluarga"".",Rumah Adat,Medan,,"Rumah Siwaluh Jabu Rumah tradisional khas Karo yang berarti ""rumah dengan delapan ruang keluarga""."
Rumah Berastagi,"Rumah adat yang sering ditemukan di daerah Berastagi, digunakan sebagai tempat tinggal dan acara adat.",Rumah Adat,Medan,,"Rumah Berastagi Rumah adat yang sering ditemukan di daerah Berastagi, digunakan sebagai tempat tinggal dan acara adat."
Rumah Adat Karo Gendang,Rumah ini digunakan untuk upacara adat dan acara kebudayaan di desa.,Rumah Adat,Medan,,Rumah Adat Karo Gendang Rumah ini digunakan untuk upacara adat dan acara kebudayaan di desa.
Jambur (Balai Adat),Balai adat yang digunakan sebagai tempat pertemuan dan kegiatan sosial.,Rumah Adat,Medan,,Jambur (Balai Adat) Balai adat yang digunakan sebagai tempat pertemuan dan kegiatan sosial.
Rumah Panggung Karo,Rumah tradisional yang ditopang tiang-tiang tinggi agar terhindar dari kelembapan dan binatang.,Rumah Adat,Medan,,Rumah Panggung Karo Rumah tradisional yang ditopang tiang-tiang tinggi agar terhindar dari kelembapan dan binatang.
Cipera,Masakan berbahan ayam yang dimasak dengan kuah kental dari tepung jagung yang dicampur bumbu khas.,Kuliner Nusantara,Medan,,Cipera Masakan berbahan ayam yang dimasak dengan kuah kental dari tepung jagung yang dicampur bumbu khas.
Tasak Telu,"Sup ayam dengan campuran tiga bahan utama: ayam, sayur, dan bumbu khas Karo.",Kuliner Nusantara,Medan,,"Tasak Telu Sup ayam dengan campuran tiga bahan utama: ayam, sayur, dan bumbu khas Karo."
Kidup-kidup,Ikan mas yang dimasak dengan kuah asam pedas menggunakan bumbu lokal seperti andaliman.,Kuliner Nusantara,Medan,,Kidup-kidup Ikan mas yang dimasak dengan kuah asam pedas menggunakan bumbu lokal seperti andaliman.
Natinombur,Ikan bakar yang disajikan dengan sambal khas dari andaliman dan rempah lainnya.,Kuliner Nusantara,Medan,,Natinombur Ikan bakar yang disajikan dengan sambal khas dari andaliman dan rempah lainnya.
Dengke Mas Na Niura,Ikan mentah yang diasinkan dan disajikan dengan bumbu khas yang terdiri dari jeruk purut dan rempah-rempah.,Kuliner Nusantara,Medan,,Dengke Mas Na Niura Ikan mentah yang diasinkan dan disajikan dengan bumbu khas yang terdiri dari jeruk purut dan rempah-rempah.
Arsik,"Masakan ikan dengan bumbu kuning khas yang terdiri dari andaliman, kunyit, dan bawang.",Kuliner Nusantara,Medan,,"Arsik Masakan ikan dengan bumbu kuning khas yang terdiri dari andaliman, kunyit, dan bawang."
Trites,"Sup yang terbuat dari isi perut sapi atau kerbau, dimasak dengan bumbu rempah khas.",Kuliner Nusantara,Medan,,"Trites Sup yang terbuat dari isi perut sapi atau kerbau, dimasak dengan bumbu rempah khas."
Babi Panggang Karo,"Daging babi yang dipanggang dengan bumbu rempah khas Karo, sering disajikan dengan saus darah.",Kuliner Nusantara,Medan,,"Babi Panggang Karo Daging babi yang dipanggang dengan bumbu rempah khas Karo, sering disajikan dengan saus darah."
Tuak,Minuman tradisional hasil fermentasi dari nira (cairan manis dari pohon aren) yang difermentasi.,Kuliner Nusantara,Medan,,Tuak Minuman tradisional hasil fermentasi dari nira (cairan manis dari pohon aren) yang difermentasi.
Air Serbat,"Minuman segar dari campuran rempah seperti jahe, gula, dan jeruk nipis.",Kuliner Nusantara,Medan,,"Air Serbat Minuman segar dari campuran rempah seperti jahe, gula, dan jeruk nipis."
Teh Andaliman,"Teh khas Karo yang dicampur dengan andaliman, memberikan rasa pedas dan aroma khas.",Kuliner Nusantara,Medan,,"Teh Andaliman Teh khas Karo yang dicampur dengan andaliman, memberikan rasa pedas dan aroma khas."
Kopi Sidikalang,"Kopi terkenal dari daerah Sidikalang, sering dinikmati oleh masyarakat Karo karena cita rasanya yang khas.",Kuliner Nusantara,Medan,,"Kopi Sidikalang Kopi terkenal dari daerah Sidikalang, sering dinikmati oleh masyarakat Karo karena cita rasanya yang khas."
Uis Gara,"Kain tenun khas Karo dengan motif berwarna merah, hitam, dan putih, sering dipakai dalam upacara adat yang .berbahan benang katun atau sutra.",Pakaian Nusantara,Medan,,"Uis Gara Kain tenun khas Karo dengan motif berwarna merah, hitam, dan putih, sering dipakai dalam upacara adat yang .berbahan benang katun atau sutra."
Uis Nipes,Kain tenun halus dengan motif khas yang digunakan oleh perempuan dalam acara adat dan upacara resmi yang berbahan benang sutra atau kapas.,Pakaian Nusantara,Medan,,Uis Nipes Kain tenun halus dengan motif khas yang digunakan oleh perempuan dalam acara adat dan upacara resmi yang berbahan benang sutra atau kapas.
Beka Buluh,"Penutup kepala tradisional yang terbuat dari kain yang dilipat dan dibentuk unik, dipakai oleh pria yang berbahan kain katun atau kain tenun.",Pakaian Nusantara,Medan,,"Beka Buluh Penutup kepala tradisional yang terbuat dari kain yang dilipat dan dibentuk unik, dipakai oleh pria yang berbahan kain katun atau kain tenun."
Baju Kurung,Pakaian longgar berwarna cerah yang dikenakan oleh wanita saat menghadiri upacara adat yang berbahan kain katun.,Pakaian Nusantara,Medan,,Baju Kurung Pakaian longgar berwarna cerah yang dikenakan oleh wanita saat menghadiri upacara adat yang berbahan kain katun.
Ulos Julu-Julu,Jenis ulos yang digunakan sebagai selendang dalam upacara adat atau saat acara pernikahan yang berbahan kain tenun kain tenun dengan hiasan benang perak atau emas.,Pakaian Nusantara,Medan,,Ulos Julu-Julu Jenis ulos yang digunakan sebagai selendang dalam upacara adat atau saat acara pernikahan yang berbahan kain tenun kain tenun dengan hiasan benang perak atau emas.
Penutup Bahu,Kain yang dikenakan di bahu pria dan wanita sebagai bagian dari pakaian adat lengkap yang berbahan kain tenun,Pakaian Nusantara,Medan,,Penutup Bahu Kain yang dikenakan di bahu pria dan wanita sebagai bagian dari pakaian adat lengkap yang berbahan kain tenun
Selendang Uis Gara,Selendang yang dikenakan oleh perempuan untuk menandakan status sosial dan perannya dalam acara adat yang berbahan kain tenun.,Pakaian Nusantara,Medan,,Selendang Uis Gara Selendang yang dikenakan oleh perempuan untuk menandakan status sosial dan perannya dalam acara adat yang berbahan kain tenun.
Sampu Julu,Ikat pinggang tradisional yang dipakai oleh pria sebagai pelengkap pakaian adat yang berbahan kain tenun.,Pakaian Nusantara,Medan,,Sampu Julu Ikat pinggang tradisional yang dipakai oleh pria sebagai pelengkap pakaian adat yang berbahan kain tenun.
Suku Karo berasal dari dataran tinggi Karo di Sumatra Utara.,Suku Karo merupakan salah satu suku Batak yang mendiami wilayah pegunungan dan dikenal dengan budaya dan adat istiadat yang kaya.,Sejarah Nusantara,Medan,,Suku Karo berasal dari dataran tinggi Karo di Sumatra Utara. Suku Karo merupakan salah satu suku Batak yang mendiami wilayah pegunungan dan dikenal dengan budaya dan adat istiadat yang kaya.
Kerajaan Haru-Karo,Kerajaan ini dikenal pada abad ke-13 hingga 16 dan berlokasi di wilayah Sumatra bagian utara. Haru-Karo merupakan kerajaan besar yang terlibat dalam perdagangan dan interaksi dengan kerajaan-kerajaan lain di Nusantara.,Sejarah Nusantara,Medan,,Kerajaan Haru-Karo Kerajaan ini dikenal pada abad ke-13 hingga 16 dan berlokasi di wilayah Sumatra bagian utara. Haru-Karo merupakan kerajaan besar yang terlibat dalam perdagangan dan interaksi dengan kerajaan-kerajaan lain di Nusantara.
Kerajaan Aru,Kerajaan ini dipercaya berhubungan dengan Karo dan memiliki pengaruh besar di Sumatra Utara pada masa kejayaannya.,Sejarah Nusantara,Medan,,Kerajaan Aru Kerajaan ini dipercaya berhubungan dengan Karo dan memiliki pengaruh besar di Sumatra Utara pada masa kejayaannya.
Raja Sibayak,"Pemimpin yang bijaksana dari Tanah Karo, terkenal karena melindungi dan memimpin rakyatnya dengan adil.",Sejarah Nusantara,Medan,,"Raja Sibayak Pemimpin yang bijaksana dari Tanah Karo, terkenal karena melindungi dan memimpin rakyatnya dengan adil."
Guru Patimpus,Pendiri Kota Medan dan tokoh penting dalam sejarah Karo yang berperan besar dalam menyebarkan budaya dan adat Karo.,Sejarah Nusantara,Medan,,Guru Patimpus Pendiri Kota Medan dan tokoh penting dalam sejarah Karo yang berperan besar dalam menyebarkan budaya dan adat Karo.
Raja Sinabung,Tokoh legendaris yang sering dikaitkan dengan cerita rakyat dan kepercayaan di wilayah Karo.,Sejarah Nusantara,Medan,,Raja Sinabung Tokoh legendaris yang sering dikaitkan dengan cerita rakyat dan kepercayaan di wilayah Karo.
Sejarah Suku Karo,Suku Karo adalah salah satu suku Batak yang mendiami dataran tinggi di Sumatra Utara. Mereka dikenal memiliki sistem sosial yang kuat dan tradisi yang kaya. Wilayah Karo dulunya merupakan bagian dari kerajaan-kerajaan kuno seperti Haru dan Aru.,Sejarah Nusantara,Medan,,Sejarah Suku Karo Suku Karo adalah salah satu suku Batak yang mendiami dataran tinggi di Sumatra Utara. Mereka dikenal memiliki sistem sosial yang kuat dan tradisi yang kaya. Wilayah Karo dulunya merupakan bagian dari kerajaan-kerajaan kuno seperti Haru dan Aru.
Sumatra Utara,"Wilayah Karo berada di provinsi Sumatra Utara, berbatasan dengan wilayah-wilayah lainnya seperti Deli Serdang dan Simalungun.",Sejarah Nusantara,Medan,,"Sumatra Utara Wilayah Karo berada di provinsi Sumatra Utara, berbatasan dengan wilayah-wilayah lainnya seperti Deli Serdang dan Simalungun."
Kota Medan,Batas kota Medan meliputi daerah Deli Serdang di timur dan selatan serta wilayah Karo di barat.,Sejarah Nusantara,Medan,,Kota Medan Batas kota Medan meliputi daerah Deli Serdang di timur dan selatan serta wilayah Karo di barat.
Kabupaten Karo,"Berbatasan dengan Kabupaten Deli Serdang di timur, Kabupaten Langkat di utara, dan Provinsi Aceh di barat.",Sejarah Nusantara,Medan,,"Kabupaten Karo Berbatasan dengan Kabupaten Deli Serdang di timur, Kabupaten Langkat di utara, dan Provinsi Aceh di barat."
Sungai Lau Biang,"Sungai utama yang mengalir di wilayah Karo, sering digunakan untuk irigasi dan kebutuhan masyarakat setempat.",Sejarah Nusantara,Medan,,"Sungai Lau Biang Sungai utama yang mengalir di wilayah Karo, sering digunakan untuk irigasi dan kebutuhan masyarakat setempat."
Sungai Lau Petani,Sungai lain yang melintasi wilayah Karo dan bermuara ke daerah Deli Serdang.,Sejarah Nusantara,Medan,,Sungai Lau Petani Sungai lain yang melintasi wilayah Karo dan bermuara ke daerah Deli Serdang.
Gunung Sinabung,Gunung berapi aktif yang menjadi salah satu ikon wilayah Karo. Terkenal dengan aktivitas erupsi yang sering terjadi.,Sejarah Nusantara,Medan,,Gunung Sinabung Gunung berapi aktif yang menjadi salah satu ikon wilayah Karo. Terkenal dengan aktivitas erupsi yang sering terjadi.
Gunung Sibayak,"Gunung yang populer di kalangan pendaki, memiliki makna spiritual bagi masyarakat Karo.",Sejarah Nusantara,Medan,,"Gunung Sibayak Gunung yang populer di kalangan pendaki, memiliki makna spiritual bagi masyarakat Karo."
Desa Lingga,"Desa tradisional yang masih mempertahankan rumah adat Karo, menjadi daya tarik wisata budaya.",Sejarah Nusantara,Medan,,"Desa Lingga Desa tradisional yang masih mempertahankan rumah adat Karo, menjadi daya tarik wisata budaya."
Museum Pusaka Karo,"Museum yang menampilkan artefak dan sejarah budaya Karo, berlokasi di wilayah Karo.",Sejarah Nusantara,Medan,,"Museum Pusaka Karo Museum yang menampilkan artefak dan sejarah budaya Karo, berlokasi di wilayah Karo."
Taman Nasional Gunung Leuser,"Sebagian wilayahnya meliputi daerah Karo, dikenal sebagai cagar alam penting yang melestarikan flora dan fauna.",Sejarah Nusantara,Medan,,"Taman Nasional Gunung Leuser Sebagian wilayahnya meliputi daerah Karo, dikenal sebagai cagar alam penting yang melestarikan flora dan fauna."
Gereja GBKP (Gereja Batak Karo Protestan),Landmark keagamaan yang penting dalam komunitas Karo di Medan dan sekitarnya.,Sejarah Nusantara,Medan,,Gereja GBKP (Gereja Batak Karo Protestan) Landmark keagamaan yang penting dalam komunitas Karo di Medan dan sekitarnya.
Danau Lau Kawar,"Danau terkenal di kaki Gunung Sinabung, dikelilingi oleh pemandangan alam yang menawan",Sejarah Nusantara,Medan,,"Danau Lau Kawar Danau terkenal di kaki Gunung Sinabung, dikelilingi oleh pemandangan alam yang menawan"
Legenda Gunung Sibayak,"Dahulu kala, di tanah Karo, seorang raja bijaksana bernama Raja Sibayak menghadapi tantangan dari pemuda sombong bernama Tarigan yang ingin merebut kekuasaan. Mereka bertanding di puncak gunung hingga guntur dan petir membelah puncak tersebut. Tarigan terjatuh ke dalam jurang, sedangkan Raja Sibayak selamat karena kebijaksanaannya. Sejak saat itu, puncak gunung yang terbelah itu dinamai Gunung Sibayak, menjadi simbol keadilan dan kekuatan alam yang melindungi kebenaran.",Dongeng Nusantara,Medan,,"Legenda Gunung Sibayak Dahulu kala, di tanah Karo, seorang raja bijaksana bernama Raja Sibayak menghadapi tantangan dari pemuda sombong bernama Tarigan yang ingin merebut kekuasaan. Mereka bertanding di puncak gunung hingga guntur dan petir membelah puncak tersebut. Tarigan terjatuh ke dalam jurang, sedangkan Raja Sibayak selamat karena kebijaksanaannya. Sejak saat itu, puncak gunung yang terbelah itu dinamai Gunung Sibayak, menjadi simbol keadilan dan kekuatan alam yang melindungi kebenaran."
Asal Usul Danau Lau Kawar,"Di kaki Gunung Sinabung, dahulu berdiri sebuah desa makmur yang tenggelam oleh banjir akibat kesombongan penduduknya yang menolak berbagi dengan seorang nenek tua. Hujan deras menghancurkan desa itu, mengubahnya menjadi Danau Lau Kawar. Danau ini menjadi pengingat bagi masyarakat Karo tentang pentingnya kerendahan hati dan berbagi, simbol bahwa kebaikan akan selalu mengalahkan keserakahan.",Dongeng Nusantara,Medan,,"Asal Usul Danau Lau Kawar Di kaki Gunung Sinabung, dahulu berdiri sebuah desa makmur yang tenggelam oleh banjir akibat kesombongan penduduknya yang menolak berbagi dengan seorang nenek tua. Hujan deras menghancurkan desa itu, mengubahnya menjadi Danau Lau Kawar. Danau ini menjadi pengingat bagi masyarakat Karo tentang pentingnya kerendahan hati dan berbagi, simbol bahwa kebaikan akan selalu mengalahkan keserakahan."
Bukit Gundaling,"Sebuah bukit dengan pemandangan alam indah, cocok untuk menikmati udara segar dan panorama Gunung Sibayak.",Wisata Nusantara,Medan,,"Bukit Gundaling Sebuah bukit dengan pemandangan alam indah, cocok untuk menikmati udara segar dan panorama Gunung Sibayak."
Danau Lau Kawar,"Danau yang terletak di kaki Gunung Sinabung, dikelilingi pepohonan hijau dan suasana tenang.",Wisata Nusantara,Medan,,"Danau Lau Kawar Danau yang terletak di kaki Gunung Sinabung, dikelilingi pepohonan hijau dan suasana tenang."
Air Terjun Sipiso-piso,"Air terjun dengan ketinggian sekitar 120 meter, salah satu yang tertinggi di Indonesia, terletak dekat Danau Toba.",Wisata Nusantara,Medan,,"Air Terjun Sipiso-piso Air terjun dengan ketinggian sekitar 120 meter, salah satu yang tertinggi di Indonesia, terletak dekat Danau Toba."
Gunung Sibayak,"Gunung berapi aktif dengan jalur pendakian yang populer, menawarkan pemandangan indah dari puncaknya.",Wisata Nusantara,Medan,,"Gunung Sibayak Gunung berapi aktif dengan jalur pendakian yang populer, menawarkan pemandangan indah dari puncaknya."
Desa Dokan,"Desa adat yang mempertahankan tradisi dan arsitektur khas Batak Karo, seperti rumah adat Siwaluh Jabu.",Wisata Nusantara,Medan,,"Desa Dokan Desa adat yang mempertahankan tradisi dan arsitektur khas Batak Karo, seperti rumah adat Siwaluh Jabu."
Taman Simalem Resort,"Destinasi wisata terpadu di dataran tinggi dengan pemandangan Danau Toba, fasilitas outbound, dan kebun.",Wisata Nusantara,Medan,,"Taman Simalem Resort Destinasi wisata terpadu di dataran tinggi dengan pemandangan Danau Toba, fasilitas outbound, dan kebun."
Karo Heritage Museum,"Museum yang menampilkan sejarah dan budaya Karo, termasuk koleksi artefak tradisional.",Wisata Nusantara,Medan,,"Karo Heritage Museum Museum yang menampilkan sejarah dan budaya Karo, termasuk koleksi artefak tradisional."
Pasar Petisah,"Tempat berburu kuliner khas Medan seperti Bika Ambon, Bolu Meranti, dan makanan tradisional lainnya.",Wisata Nusantara,Medan,,"Pasar Petisah Tempat berburu kuliner khas Medan seperti Bika Ambon, Bolu Meranti, dan makanan tradisional lainnya."
Masjid Raya Al-Mashun,"Masjid megah bersejarah dengan arsitektur indah, dibangun pada masa Kesultanan Deli.",Wisata Nusantara,Medan,,"Masjid Raya Al-Mashun Masjid megah bersejarah dengan arsitektur indah, dibangun pada masa Kesultanan Deli."
Istana Maimun,Bangunan bersejarah yang merupakan peninggalan Kesultanan Deli dengan desain arsitektur unik perpaduan Melayu dan Eropa.,Wisata Nusantara,Medan,,Istana Maimun Bangunan bersejarah yang merupakan peninggalan Kesultanan Deli dengan desain arsitektur unik perpaduan Melayu dan Eropa.
Anding-Andingen,"Anding-andingen, anding sura-sura,
 Bage pangkalan, kuta kita senina.
 Erbunga kuta, ersada rasa, 
 Tangis gembira, jumpa kelua.
 
 Mari-mari, ersinalsal kita, 
 Runggu kita, cakap ngenca-ngenca. 
 Langit nari terang, bintang eriakan, 
 Kenca bage, damai jumpa. 
 
 Ndai pengingat, ndai penguat, 
 Kalak Karo merga ndai terkatung. 
 Bage pusuh, satu hati, 
 Ndai erkelit, man jumpa segehati.",Musik Nusantara,Medan,,"Anding-Andingen Anding-andingen, anding sura-sura,
 Bage pangkalan, kuta kita senina.
 Erbunga kuta, ersada rasa, 
 Tangis gembira, jumpa kelua.
 
 Mari-mari, ersinalsal kita, 
 Runggu kita, cakap ngenca-ngenca. 
 Langit nari terang, bintang eriakan, 
 Kenca bage, damai jumpa. 
 
 Ndai pengingat, ndai penguat, 
 Kalak Karo merga ndai terkatung. 
 Bage pusuh, satu hati, 
 Ndai erkelit, man jumpa segehati."
Gendang Singanaki,Alat musik perkusi tradisional yang digunakan dalam pertunjukan musik Karo.,Musik Nusantara,Medan,,Gendang Singanaki Alat musik perkusi tradisional yang digunakan dalam pertunjukan musik Karo.
Kulcapi,"Alat musik petik tradisional yang mirip dengan kecapi, sering digunakan untuk mengiringi nyanyian.",Musik Nusantara,Medan,,"Kulcapi Alat musik petik tradisional yang mirip dengan kecapi, sering digunakan untuk mengiringi nyanyian."
Sarune,Alat musik tiup tradisional Karo yang menghasilkan nada melodi dalam pertunjukan adat.,Musik Nusantara,Medan,,Sarune Alat musik tiup tradisional Karo yang menghasilkan nada melodi dalam pertunjukan adat.
Keteng-Keteng,"Alat musik berdawai yang dimainkan dengan cara dipetik, khas dalam budaya Karo.",Musik Nusantara,Medan,,"Keteng-Keteng Alat musik berdawai yang dimainkan dengan cara dipetik, khas dalam budaya Karo."
Gendang Singanaki Karo,Musik tradisional yang dimainkan dalam berbagai upacara adat menggunakan alat musik khas Karo.,Musik Nusantara,Medan,,Gendang Singanaki Karo Musik tradisional yang dimainkan dalam berbagai upacara adat menggunakan alat musik khas Karo.
Musik Andung-Andung,Musik yang dimainkan saat upacara duka atau untuk mengiringi suasana sedih.,Musik Nusantara,Medan,,Musik Andung-Andung Musik yang dimainkan saat upacara duka atau untuk mengiringi suasana sedih.
Mejuah-juah,Salam,Bahasa Nusantara,Medan,,Mejuah-juah Salam
Terem,Cantik,Bahasa Nusantara,Medan,,Terem Cantik
Man,Iya,Bahasa Nusantara,Medan,,Man Iya
Nggak,Tidak,Bahasa Nusantara,Medan,,Nggak Tidak
Tedeh,Terima kasih,Bahasa Nusantara,Medan,,Tedeh Terima kasih
Enda,Ini,Bahasa Nusantara,Medan,,Enda Ini
Sude,Semua,Bahasa Nusantara,Medan,,Sude Semua
Ibas,Dalam,Bahasa Nusantara,Medan,,Ibas Dalam
Piga,Berapa,Bahasa Nusantara,Medan,,Piga Berapa
Ukur,Besar,Bahasa Nusantara,Medan,,Ukur Besar
Geluh,Hidup,Bahasa Nusantara,Medan,,Geluh Hidup
Poso,Anak kecil,Bahasa Nusantara,Medan,,Poso Anak kecil
Mate,Mati,Bahasa Nusantara,Medan,,Mate Mati
Ndahi,Selamat tinggal,Bahasa Nusantara,Medan,,Ndahi Selamat tinggal
Mbelin,Mahal,Bahasa Nusantara,Medan,,Mbelin Mahal
Empo,Nenek,Bahasa Nusantara,Medan,,Empo Nenek
Ise,Siapa,Bahasa Nusantara,Medan,,Ise Siapa
Kade-kade,Teman,Bahasa Nusantara,Medan,,Kade-kade Teman
Kerina,Kita semua,Bahasa Nusantara,Medan,,Kerina Kita semua
Entah,Mungkin,Bahasa Nusantara,Medan,,Entah Mungkin
Tanding,Pergi,Bahasa Nusantara,Medan,,Tanding Pergi
Dekah,Dekat,Bahasa Nusantara,Medan,,Dekah Dekat
Jenda,Sakit,Bahasa Nusantara,Medan,,Jenda Sakit
Ginting,Keluarga Ginting,Bahasa Nusantara,Medan,,Ginting Keluarga Ginting
Ersinalsal,Berkumpul,Bahasa Nusantara,Medan,,Ersinalsal Berkumpul
Langit,Langit,Bahasa Nusantara,Medan,,Langit Langit
Tanah,Tanah,Bahasa Nusantara,Medan,,Tanah Tanah
Ijuk,Hitam,Bahasa Nusantara,Medan,,Ijuk Hitam
Pedalan,Jalan,Bahasa Nusantara,Medan,,Pedalan Jalan
La,Tidak ada,Bahasa Nusantara,Medan,,La Tidak ada
Biring,Pinggir,Bahasa Nusantara,Medan,,Biring Pinggir
Pica,Potong,Bahasa Nusantara,Medan,,Pica Potong
Pitu,Pintu,Bahasa Nusantara,Medan,,Pitu Pintu
Jabu-jabu,Rumah,Bahasa Nusantara,Medan,,Jabu-jabu Rumah
Mangan,Makan,Bahasa Nusantara,Medan,,Mangan Makan
Minum,Minum,Bahasa Nusantara,Medan,,Minum Minum
Bulung,Daun,Bahasa Nusantara,Medan,,Bulung Daun
Tedeh-tedeh,Pemberian,Bahasa Nusantara,Medan,,Tedeh-tedeh Pemberian
Gelas,Gelas,Bahasa Nusantara,Medan,,Gelas Gelas
Gantang,Berat,Bahasa Nusantara,Medan,,Gantang Berat
Kudingen,Kecil,Bahasa Nusantara,Medan,,Kudingen Kecil
Kuta,Desa,Bahasa Nusantara,Medan,,Kuta Desa
Empu,Pemilik,Bahasa Nusantara,Medan,,Empu Pemilik
Nakan,Makanan,Bahasa Nusantara,Medan,,Nakan Makanan
Mbiring,Belakang,Bahasa Nusantara,Medan,,Mbiring Belakang
Talun,Hutan,Bahasa Nusantara,Medan,,Talun Hutan
Lau,Sungai,Bahasa Nusantara,Medan,,Lau Sungai
Perbadu,Jembatan,Bahasa Nusantara,Medan,,Perbadu Jembatan
Darah,Darah,Bahasa Nusantara,Medan,,Darah Darah
